Job_Title,Job Domain,Company,Location,Min years of exp,Language Requirement,Skills,Salary_Raw,Link,JD & Requirements,List Skills,AI_Job_Domain,AI_Min_exp,AI_Language,AI_Skills
"System Engineer (Windows, Linux, VMware)",Infrastructure,CAEX,"Tòa nhà Ancora, số 3 Lương Yên , Hai Ba Trung, Ha Noi",3.0,English,"Linux, Monitoring, Security, Networking, Web Server / Proxy",You'll love it,https://itviec.com/it-jobs/it-server-operator-windows-server-linux-vmware-ctcp-san-giao-dich-tai-san-ma-hoa-viet-nam-thinh-vuong-caex-0300?lab_feature=preview_jd_page,"Job description
 
 Job Purpose
 
 
 
 Server Operator is responsible for maintaining the stability, availability, and performance of server infrastructure and related IT services. The role supports daily operations, incident handling, system monitoring, and infrastructure optimization to ensure committed SLAs and stable IT operations.
 
 
 
 Key Responsibilities
 
 
 
 Operate, monitor, and maintain server infrastructure and related IT services. 
 
 Ensure system availability, stability, and performance in compliance with committed SLAs. 
 
 Perform system checks, troubleshooting, incident handling, and corrective actions. 
 
 Deploy, maintain, upgrade, and optimize server systems and related technologies. 
 
 Manage server configurations, system assets, operational procedures, and infrastructure standards. 
 
 Monitor resource utilization, maintain capacity planning, and improve operational efficiency. 
 
 Participate in change management, configuration management, and CAB activities. 
 
 Implement and maintain security solutions related to server infrastructure. 
 
 Coordinate with related teams and vendors to resolve incidents and improve service quality. 
 
 Prepare operational checklists, reports, and technical documentation
 
 Your skills and experience
 
 Bachelor of Science in Computer Science, related field, or equivalent working experience. 
 
 Minimum 3 years of experience in server infrastructure operations or related system administration roles.
 
 Strong knowledge of Windows Server, AIX, Linux, VMware, and related platform services. 
 
 Strong understanding of server infrastructure, networking, security, database systems, and DC–DR infrastructure. 
 
 Experience operating and administering enterprise server platforms and infrastructure systems. 
 
 Experience troubleshooting and resolving issues on server platforms during operation. 
 
 Experience working with server products, platform services, and infrastructure management solutions. 
 
 Knowledge of Exchange, SMTP, Active Directory, Open Directory, and directory services. 
 
 Good communication and technical reporting skills. 
 
 Ability to work effectively within highly technical teams. 
 
 Nice to Have
 
 
 
 MCSA certification. 
 
 ACSP or ACTC certification. 
 
 Experience working with enterprise monitoring and server optimization solutions. 
 
 Experience in server infrastructure standardization and configuration management.
 
 Language: Good English",Data Engineering,Infrastructure,3.0,English,"Linux, Monitoring, Networking, Security"
IT Support Analyst,Infrastructure,Nexnode Pty Ltd,"Xuan Hoa, Ho Chi Minh",,English,"Azure, Networking, Firewall / VPN, Security, Web Server / Proxy, Docker","1,000 - 2,000 USD",https://itviec.com/it-jobs/it-support-analyst-level-1-to-level-3-nexnode-pty-ltd-5423?lab_feature=preview_jd_page,"Job Description
 
 
 
 As an IT Support Analyst, you will provide Level 1 to Level 3 technical support across user devices, Microsoft 365, Azure, networking, collaboration tools, and cloud-based environments. You will work directly with internal teams and clients to troubleshoot issues, support infrastructure, and ensure high-quality service delivery.
 
 
 
 This role requires strong English communication skills, a proactive attitude, and the ability to manage support requests professionally from diagnosis through to resolution.
 
 
 
 Key Responsibilities
 
 
 
 Provide Level 1, Level 2, and Level 3 IT and desktop support to users across various industries.
 
 Troubleshoot and resolve issues across Microsoft 365 suite, Azure, Intune, Windows Server OS.
 
 Configure and troubleshoot issues with VMware systems.
 
 Support user account management, licensing, permissions, MFA, and security configuration.
 
 Assist with Microsoft Azure administration, including Entra ID, users, groups, policies, and basic cloud infrastructure tasks.
 
 Configure, troubleshoot, and support Cisco networking and collaboration solutions.
 
 Support Cisco Meraki environments, including wireless, switching, security appliances, and cloud dashboard management.
 
 Assist with Cisco UCS and server infrastructure support where required.
 
 Manage tickets, document solutions, and communicate clearly with stakeholders.
 
 Escalate complex issues when required while maintaining ownership and follow-up.
 
 Support onboarding and offboarding processes for users.
 
 Contribute to IT documentation, process improvements, and service quality initiatives.
 
 
 
 Your skills and experience
 
 At least 2 years of experience in a similar IT support, helpdesk, systems support, or managed services role.
 
 Bachelor’s degree or higher in Information Technology, Computer Science, Networking, Cybersecurity, or a related field.
 
 Fluent English communication skills, both written and spoken.
 
 Strong experience with Microsoft 365, including Exchange Online, Teams, SharePoint, OneDrive, Intune and admin portals.
 
 Experience with Microsoft Azure and Microsoft Entra ID.
 
 Strong Experience with Microsoft Server Operating Systems and Active Directory.
 
 Good understanding of Windows and MAC operating systems, endpoint support, and general IT troubleshooting.
 
 Experience with Cisco networking technologies.
 
 Experience with Cisco collaboration (Webex) solutions is highly regarded.
 
 Experience with Cisco Meraki is highly regarded.
 
 Experience with Cisco UCS, VMware or server infrastructure is an advantage.
 
 Strong problem-solving skills and attention to detail.
 
 Professional attitude with a strong customer-service mindset.
 
 Ability to work independently and as part of a team.
 
 Nice to Have
 
 
 
 Experience working for a Managed Service Provider or IT services company.
 
 Microsoft certifications such as MD-102, AZ-700, AZ-305, AZ-104, or similar.
 
 Cisco certifications such as CCNA or equivalent.
 
 Experience with IT ticketing systems, remote monitoring tools (ninjaone), and documentation platforms.
 
 Understanding of cybersecurity best practices, MFA, conditional access, endpoint protection, and backup solutions.",Firewall / VPN,Infrastructure,2.0,English,"Azure, Networking, Security"
Infrastructure Engineer ,Infrastructure,FOUR HANDS,"Quận Nam Từ Liêm, Hà Nội - Quận 7, Hồ Chí Minh",3.0,English,"Azure, Firewall / VPN, Monitoring, Networking, Security",You'll love it,https://itviec.com/it-jobs/infrastructure-engineer-english-azure-cisco-four-hands-3706?lab_feature=preview_jd_page,"Job description
 
 Role Overview
 
 
 
 The Infrastructure Engineer supports and operates the organization’s Azure, Microsoft 365, identity, and network infrastructure.
 
 
 
 This role focuses on daytoday operations and continuous improvement across Azure platform services, identity systems, Microsoft 365, and enterprise networking in a hybrid environment, working closely with international teams.
 
 
 
 Key Responsibilities
 
 
 
 Support and maintain Azure infrastructure, primarily focused on:
 
 Networking and connectivity
 
 Backup and recovery
 
 Platform services such as App Service Plans
 
 Operate and support Microsoft 365 services, including Exchange Online, SharePoint Online, OneDrive, Teams, and related tenant services
 
 Support identity infrastructure, including onprem Active Directory and Microsoft Entra ID
 
 Configure and troubleshoot Cisco VPNs (sitetosite and remote access)
 
 Support Meraki switches and Aruba wireless access points
 
 Monitor and troubleshoot network, Azure, identity, and Microsoft 365 service issues
 
 Apply infrastructure and security best practices
 
 Support incidents, changes, and infrastructure improvement initiatives
 
 Maintain technical documentation and diagrams in English
 
 Your skills and experience
 
 Required Skills & Experience
 
 
 
 3–5 years experience in IT infrastructure
 
 Hands-on experience with Microsoft Azure in an infrastructure or platform support role
 
 Practical experience administering Microsoft 365
 
 Experience with Active Directory and Microsoft Entra ID
 
 Experience with Cisco VPN, Meraki switching, and Aruba wireless
 
 Strong understanding of TCP/IP, DNS, DHCP, VLANs, routing, and firewalls
 
 Experience supporting hybrid cloud and onprem environments
 
 Strong English communication skills (written and spoken), required for daily collaboration, documentation, and meetings with international teams
 
 Nice to Have
 
 
 
 Azure certification (AZ104 or similar)
 
 Networking certifications (Cisco CCNA/CCNP, Aruba, or equivalent)
 
 PowerShell or scripting experience
 
 Experience with Intune or Microsoft Defender",Frontend Basics,Infrastructure,3.0,English,"Azure, Firewall / VPN, Networking, Monitoring, Security"
Application Ops,Infrastructure,GPBANK,"Room 102, SBI Building, Quang Trung Software City, Ho Chi Minh",3.0,,"Docker, Kubernetes, AWS, CI/CD, Monitoring, Linux, SQL, MySQL / PostgreSQL, Web Server / Proxy","2,000 - 2,800 USD",https://itviec.com/it-jobs/appication-ops-van-hanh-ung-dung-t24-payment-ngan-hang-thuong-mai-tnhh-mtv-ky-nguyen-thinh-vuong-gpbank-3617?lab_feature=preview_jd_page,"Job description
 
 Review, deploy and configure application base on guideline and go live checklist
 
 Provide L2 support on production
 
 Troubleshoot and resolve issues within a timely manner against SLA requirements
 
 Backup, achieve
 
 Monitor, operating the platform, application, and system
 
 Define SLA, OLA
 
 Training for L1 support and other members
 
 Create operation guideline documents
 
 Turning the platform and system
 
 Your skills and experience
 
 Bachelor’s degree in Computer Science, Engineering, Mathematics, or related field of study: or equivalent education, training & experience
 
 Containerization & Orchestration: Experience with Docker and Kubernetes (preferably EKS on AWS)
 
 DevOps Practices: Familiar with CI/CD pipelines and tools such as Jenkins, GitLab CI, or AWS CodePipeline
 
 Application Operations / IT Support: 3–5 years of experience in banking or enterprise system environments
 
 Application Servers: Hands-on experience with Apache Tomcat or similar platform
 
 Monitoring & Logging: Experience with Kibana, Grafana, Prometheus, Elasticsearch, and Logstash
 
 Operating Systems: Working experience with Red Hat, Linux, and Windows
 
 Databases: Experience with MS SQL, MySQL, Oracle.
 
 Banking Systems: Exposure to at least one domain: Core Banking, Cards, Lending, or Payment Channels (e.g., CITAD, VCB Money, VTB Payment, SWIFT).
 
 Load Balancing: Familiar with web/application servers using load balancing models.",Game Development,Infrastructure,3.0,None,"Docker, Kubernetes, AWS, CI/CD, Monitoring, Linux, SQL, Web Server / Proxy"
Database Administrator,Infrastructure,Trung tâm CNTT Tập đoàn Bảo Việt,"17 Nguyen Duy Hieu, Ho Chi Minh",3.0,English,"Linux, MySQL / PostgreSQL, SQL, Security, Azure, AWS",You'll love it,https://itviec.com/it-jobs/database-administrator-oracle-postgresql-linux-trung-tam-cntt-tap-doan-bao-viet-5049?lab_feature=preview_jd_page,"Job description
 
 - Thực hiện quản trị, vận hành và giám sát ứng dụng CNTT, cơ sở dữ liệu và phần mềm lớp giữa triển khai tại Trung tâm dữ liệu (DC) và Trung tâm dự phòng (DR), đảm bảo hệ thống hoạt động ổn định, an toàn, hiệu quả và tuân thủ SLA.
 
 - Nghiên cứu, đánh giá và triển khai công nghệ mới nhằm tối ưu hệ thống, nâng cao chất lượng dịch vụ CNTT.
 
 - Tham gia các dự án công nghệ thông tin, đảm bảo các hạng mục triển khai đúng tiến độ, đạt chất lượng và đáp ứng yêu cầu kỹ thuật.
 
 - Tham gia xây dựng, cập nhật và thực hiện các quy trình, hướng dẫn quản trị, vận hành nhằm chuẩn hóa và nâng cao hiệu quả hệ thống.
 
 - Tham gia đào tạo và phát triển năng lực chuyên môn, áp dụng kiến thức vào công việc để nâng cao hiệu quả quản trị và vận hành.
 
 
 
 Your skills and experience
 
 1. Yêu cầu tối thiểu
 
 1.1 Trình độ chuyên môn: 
 
 - Đào tạo: Tối thiểu tốt nghiệp đại học chuyên ngành Tin học, Điện tử tin học, Khoa học máy tính, Truyền thông và mạng máy tính, Kỹ thuật phần mềm, Hệ thống thông tin, Công nghệ thông tin, An toàn thông tin, Công nghệ kỹ thuật máy tính, Công nghệ truyền thông, Hệ thống thông tin quản lý, Kỹ thuật máy tính, Tin học ứng dụng, Toán ứng dụng, Mạng máy tính và truyền thông dữ liệu, Toán – Tin, Toán tin ứng dụng, Xử lý thông tin truyền thông, Sự phạm tin học, Điện tử - viễn thông, Điện tử, Viễn thông, Truyền thông đa phương tiện, Công nghệ kỹ thuật điện – điện tử, Công nghệ kỹ thuật điện tử - viễn thông, Công nghệ phần mềm, Máy tính, Kỹ thuật điện tử viễn thông.
 
 - Ngoại ngữ: Tiếng Anh chuyên ngành thành thục để có thể đọc tài liệu, nắm bắt được các công nghệ mới.
 
 1.2 Kinh nghiệm nghề nghiệp:
 
 - Tối thiểu 03 năm kinh nghiệm trực tiếp quản trị hệ thống cơ sở dữ liệu và ứng dụng; có khả năng quản trị các hệ quản trị cơ sở dữ liệu Oracle, PostgreSQL, MSSQL Server và hệ điều hành máy chủ Linux.
 
 1.3 Yêu cầu khác:
 
 - Kỹ năng giao tiếp tốt.
 
 - Có khả năng tiếp thu nhanh, cập nhật được những công nghệ mới.
 
 - Có kỹ năng tổ chức thực hiện công việc, phải có tư duy tốt, luôn tìm tòi, sáng tạo trong công việc.
 
 - Có kỹ năng phân tích hiện trạng hạ tầng CNTT, kỹ năng thiết kế hệ thống CNTT.
 
 - Có kỹ năng xây dựng các quy trình, hướng dẫn và thực hiện đào tạo.
 
 2. Ưu tiên:
 
 - Ưu tiên có các chứng chỉ quốc tế về lĩnh vực cơ sở dữ liệu, phần mềm lớp giữa và chứng chỉ Cloud.",Golang,Infrastructure,3.0,English,"SQL, Linux, System Design"
Security Engineer,Infrastructure,ITviec Recruitment Consulting,"45 Nguyễn Văn Huyên, Ha Noi",8.0,,"Security, Python, AWS, CI/CD, API, GraphQL, Mobile Apps, Automation Test, Docker, Kubernetes, Scrum / Agile",You'll love it,https://itviec.com/it-jobs/senior-security-engineer-itviec-recruitment-consulting-3110?lab_feature=preview_jd_page,"Job description
 
 Role Summary 
 
 
 
 We are seeking a highly skilled and hands-on Senior Security Engineer with a strong focus on secure coding and automation (Python) to join our Service Operations team. This role is ideal for engineers who are passionate about building secure, scalable systems, integrating security into development workflows, and supporting banking/financial domain applications in a cloud-native (AWS) environment.
 
 
 
  
 
 
 
 Key Responsibilities 
 
 
 
 Develop and maintain security automation tools and scripts using Python to support application security and DevSecOps processes
 
 Perform secure code reviews across platforms (Kotlin, Node.js, Android, iOS, Python), with strong emphasis on Python-based systems
 
 Integrate and automate security controls into CI/CD pipelines (e.g., GitHub Actions)
 
 Work closely with engineering teams to embed secure coding practices into the SDLC
 
 Implement and manage SAST/SCA/DAST tools and automate vulnerability detection and remediation workflows
 
 Support API and application security (REST, GraphQL), including authentication, authorization, and encryption practices
 
 Conduct basic penetration testing and vulnerability validation (mobile, web, APIs) – depth is not required, focus is on remediation and automation
 
 Perform threat modelling (e.g., STRIDE) and risk assessment for applications, especially in banking systems
 
 Collaborate with infrastructure teams to ensure secure deployment on AWS cloud environments
 
 Contribute to application security standards, policies, and best practices aligned with OWASP
 
 Monitor and respond to emerging security threats, including risks related to AI-enabled systems
 
 Support BAU security operations, vulnerability management, and continuous improvement initiatives
 
 Your skills and experience
 
 7+ years of hands-on experience in Python development (mandatory, strong coding capability is critical)
 
 8 years of experience in application security/DevSecOps
 
 Experience working in banking/financial services domain
 
 Strong experience with AWS cloud services and cloud security practices
 
 Solid understanding of secure coding practices and code review methodologies
 
 Experience integrating security tools into CI/CD pipelines
 
 Familiarity with SAST/SCA/DAST tools
 
 Basic understanding of penetration testing concepts and tools (e.g., Burp Suite, MobSF, Frida)
 
 Knowledge of API security, authentication mechanisms, and cryptographic fundamentals
 
 Experience working in Agile/DevOps environments
 
 Nice-to-Have 
 
 
 
 Experience with security automation frameworks and tooling in Python
 
 Exposure to AI/ML application security (e.g., prompt injection, model abuse)
 
 Certifications such as AWS Security Specialty, CSSLP, OSCP (optional)
 
 Experience with container security (Docker, Kubernetes) and IaC scanning
 
 Familiarity with banking security standards and compliance requirements",GraphQL,Infrastructure,7.0,English,"Python, AWS, CI/CD, API, GraphQL, Security, Scrum / Agile, Docker, Kubernetes"
Cloud Solutions Architect,Infrastructure,GALAXY HOLDINGS,"F-Town 3, Lô E3 Võ Chí Công, Khu CNC, Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh, Việt Nam, Tang Nhon Phu, Ho Chi Minh",5.0,English,"AWS, Azure, CI/CD, Firewall / VPN, GCP, Git, Kubernetes, Microservices, Monitoring, Networking, Security, Software Architecture, Terraform",You'll love it,https://itviec.com/it-jobs/senior-cloud-solutions-architect-aws-gcp-galaxy-holdings-0536?lab_feature=preview_jd_page,"Job description
 
 Thiết kế, triển khai và tối ưu hóa hạ tầng điện toán đám mây cho Galaxy Holdings và các công ty thành viên. Xây dựng nền tảng cloud có khả năng mở rộng, bảo mật cao, đáp ứng yêu cầu vận hành của các sản phẩm fintech, e-commerce, loyalty platform phục vụ hàng triệu người dùng.
 
 
 
 TRÁCH NHIỆM CHÍNH
 
 
 
 Thiết kế Cloud Architecture (AWS/Azure/GCP) cho toàn bộ hệ sinh thái: Galaxy Pay, Galaxy Joy, Galaxy One, FinOS
 
 Xây dựng Cloud Landing Zone, Account Strategy, Network Architecture và Security Baseline cho multi-account environment
 
 Thiết kế và triển khai Kubernetes (EKS/AKS/GKE) platform, Container Orchestration và Service Mesh (Istio/Linkerd)
 
 Xây dựng chiến lược Multi-cloud/Hybrid Cloud, tối ưu chi phí và hiệu suất
 
 Thiết kế High Availability, Disaster Recovery và Business Continuity cho các hệ thống mission- critical (payment, banking)
 
 Xây dựng Infrastructure as Code (Terraform/Pulumi), CI/CD pipelines và GitOps workflows
 
 Tối ưu Cloud Cost (FinOps), monitoring và capacity planning
 
 Mentor và đào tạo đội ngũ DevOps/Cloud Engineers, xây dựng Cloud Center of Excellence
 
 Your skills and experience
 
 YÊU CẦU BẮT BUỘC
 
 
 
 Tối thiểu 8 năm kinh nghiệm CNTT, trong đó ít nhất 5 năm chuyên sâu về Cloud Architecture
 
 Chứng chỉ Professional/Expert level: AWS Solutions Architect Professional, Azure Solutions Architect Expert, hoặc GCP Professional Cloud Architect
 
 Kinh nghiệm thực tế triển khai và vận hành Kubernetes production với quy mô lớn (100+ nodes)
 
 Thành thạo Infrastructure as Code: Terraform (bắt buộc), CloudFormation/ARM Templates
 
 Kinh nghiệm thiết kế hệ thống High-throughput, Low-latency cho fintech/payment processing
 
 Am hiểu sâu về Networking (VPC, Transit Gateway, Direct Connect, CDN), Security (IAM, KMS, WAF)
 
 Kinh nghiệm với Observability stack: Prometheus, Grafana, ELK/OpenSearch, Datadog hoặc tương đương
 
 Tiếng Anh giao tiếp tốt, đọc hiểu tài liệu kỹ thuật thành thạo
 
 ƯU TIÊN / LỢI THẾ
 
 
 
 Kinh nghiệm với PCI-DSS compliance cho hệ thống thanh toán
 
 Chứng chỉ CKA/CKAD (Certified Kubernetes Administrator/Developer)
 
 Kinh nghiệm với Serverless Architecture, Edge Computing",Microservices,Infrastructure,8.0,English,"AWS, Azure, GCP, Kubernetes, Terraform, CI/CD, Git, Networking, Security, Monitoring, System Design"
"System Engineer (Windows, Linux, Cloud)",Infrastructure,Euroland Asia,"Z06 Street No. 13, Tan Thuan Dong Ward, Tan Thuan, Ho Chi Minh",2.0,English,"AWS, Azure, CI/CD, Docker, Firewall / VPN, Linux, Monitoring, MySQL / PostgreSQL, Networking, Python, Web Server / Proxy",1.000 USD to 1.500 USD,https://topdev.vn/detail-jobs/system-engineer-windows-linux-cloud-euroland-asia-2099976?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Administer and maintain Windows and Linux servers on both on-premises and cloud environments.
 
 Manage virtual machines, system configuration, patching, upgrades, and daily operations.
 
 Support and troubleshoot networking, DNS, load balancing, firewall rules, SSL/TLS, and access control.
 
 Work with development teams to support deployments, improve system reliability and contribute to DevOps processes.
 
 Operate cloud infrastructure in Azure and/or AWS.
 
 Support database and application servers (basic administration and troubleshooting).
 
 Monitor system health, performance, availability, and resolve incidents.
 
 Assist with backup, restore, disaster recovery, and system security practices.
 
 Write scripts to automate routine tasks and maintain technical documentation.
 
 2
 
 Your skills & qualifications
 
 At least 2 years of experience as:
 
 System Engineer / System Administrator / Infrastructure Engineer / Platform Engineer.
 
 Strong hands-on experience with:
 
 Windows Server administration.
 
 Linux server administration.
 
 Solid understanding of:
 
 Virtual machines and system operations.
 
 Networking fundamentals (TCP/IP, DNS, routing, load balancing).
 
 Experience working with production systems.
 
 Hands-on experience with cloud infrastructure (Azure or AWS).
 
 Good scripting skills:
 
 PowerShell, Bash, Python or equivalent.
 
 Strong troubleshooting mindset, attention to detail, and responsibility .
 
  
 
 
 
 *** Preferred Qualifications:
 
 
 
 Experience with Azure/AWS infrastructure and services.
 
 Experience with hybrid environments (on-prem + cloud).
 
 Experience with managing database servers (SQL Server, PostgreSQL).
 
 Experience with containerization (Docker) and CI/CD tools (Azure DevOps, GitLab CI).
 
 Experience with monitoring/logging tools: Azure Monitor, Log Analytics, Prometheus, Grafana.
 
 Experience supporting web applications (IIS, Nginx, Apache).
 
 Good English communication skills.",PHP,Infrastructure,2.0,English,"Linux, AWS, Azure, Networking, Firewall / VPN, Monitoring, Security, Python, SQL, Docker, CI/CD, Web Server / Proxy"
IT Security & Network Engineer,Infrastructure,ITviec Recruitment Consulting,Hà Nội,5.0,English,"Firewall / VPN, Monitoring, Networking, Security",You'll love it,https://itviec.com/it-jobs/it-security-network-engineer-itviec-recruitment-consulting-3953?lab_feature=preview_jd_page,"Job description
 
 Security Policy & Governance
 
 
 
 Develop and enforce IT security policies, procedures, and standards in strict alignment with local banking regulations (e.g., SBV Circular 09).
 
 Define and manage Network Access Control (NAC) and Firewall policies to maintain strict network segmentation across DMZ, Internal, and Database zones.
 
 Establish robust security hardening standards for all network devices, servers, and endpoints.
 
 Manage Identity and Access Management (IAM) policies and proactively monitor privileged account activities.
 
 Security Operations & Incident Response
 
 
 
 Administer and manage policies for Next-Gen Firewalls, IDS/IPS, WAF, and DLP solutions.
 
 Lead end-to-end responses to cybersecurity incidents, encompassing Detection, Containment, and Root Cause Analysis (RCA).
 
 Coordinate regular vulnerability assessments, manage remediation actions, and oversee third-party Penetration Testing (Pen-testing).
 
 Network Infrastructure Management
 
 
 
 Design, implement, and maintain the bank’s internal and external network architecture (L2/L3 Switching, Routing, VLAN).
 
 Manage and optimize secure connectivity (such as VPNs) between Headquarters, branches, and Data Centers.
 
 Continuously monitor network performance and ensure High Availability (HA) for core banking services.
 
 Compliance & Governance
 
 
 
 Ensure all network and security configurations fully comply with local financial regulations (e.g., SBV Circular 09/2020).
 
 Develop detailed technical documentation and gather comprehensive evidence to support IT audits and security inspections.
 
 Conduct regular network and security health checks and provide detailed reporting.
 
 Your skills and experience
 
 Must-Have 
 
 
 
 Experience: 5+ years of experience in Network & Security operations; prior experience in the Banking or Financial sector is mandatory.
 
 Setup Experience: Demonstrated experience in setting up secure networks from scratch for new financial entities or branches.
 
 Policy Expertise: Proven track record of translating complex regulatory and compliance requirements into actionable technical security policies.
 
 Domain Knowledge: Strong understanding of Vietnamese Cybersecurity laws and local banking technical standards.
 
 Technical Skills: Hands-on experience operating enterprise-grade security devices and network monitoring tools, coupled with a strong background in resolving security breaches or network-related incidents. Deep technical understanding of TCP/IP, Routing protocols (OSPF, BGP), and overall Network Security architecture.
 
 Language: Intermediate English proficiency, specifically the ability to accurately document security policies and respond confidently during technical audits.
 
 Nice-to-Have
 
 
 
 Holding recognized professional security certifications such as CISSP, CCNP Security, CEH, or CISA.
 
 Practical experience dealing with ISO/IEC 27001 certification, maintenance processes, or internal auditing.",React Native,Infrastructure,5.0,English,"Firewall / VPN, Networking, Security, Monitoring"
Senior Cyber Security Engineer,Infrastructure,TRIDENT DIGITAL TECH,"71 Ngô Sĩ Liên, Ha Noi",5.0,English,"API, Blockchain, CI/CD, Security, Software Architecture",Negotiable,https://topdev.vn/detail-jobs/senior-cyber-security-engineer-cong-ty-tnhh-trident-digital-tech-2096128?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Design, develop, test, and deploy custom Odoo CE modules.Collect and maintain PCI DSS , ISO 27xxx , ISMS , SOC 2 audit evidence and readiness controls
 
 Implement secure SDLC and R&D security requirements aligned with business delivery
 
 Define evidence strategies and continuous compliance workflows
 
 Perform web application and SDLC security assessments
 
 Experience with one or more blockchain platforms and associated tooling
 
 Produce executive-level assessment and risk reports
 
 2
 
 Your skills & qualifications
 
 Bachelor’s / Master’s in Cybersecurity / IT / Computer Science
 
 CISSP or CISM or GIAC plus one technical specialization
 
 5–10+ years experience in cybersecurity engineering, security architecture or product security
 
 Proven delivery of security assessments or security programs
 
 Strong experience in at least two domains: identity, cloud security, detection/response, or application security
 
 Hands-on ISO 27xxx , PCI DSS , SOC 2 audit experience
 
 Strong understanding of modern application development and CI/CD security risks
 
 Familiarity with ISO 27xxx , PCI DSS , SOC 2 concepts
 
 Strong understanding of web and API security, decentralized identity frameworks.
 
 Ability to operate autonomously and engage senior stakeholders
 
 Other requirements
 
 
 
 ISO 27xxx Lead Implementer
 
 Experience designing secure SDLC or application security programs
 
 Experience building repeatable assessment playbooks
 
 Background in MDR/SOC, cloud security, or regulated industries
 
 Clear, concise communication in English (written and verbal).",SAP,Infrastructure,5.0,English,"API, CI/CD, Blockchain, Security"
Network Security Engineer,Infrastructure,SVTIN,"City, Ho Chi Minh City, Ha Noi",2.0,English,"Firewall / VPN, Networking, Security",You'll love it,https://itviec.com/it-jobs/network-security-engineer-svtin-0015?lab_feature=preview_jd_page,"Job description
 Quản trị, vận hành hạ tầng mạng DC/DR/Branch/WAN/Intranet (Các hệ thống mạng triển khai diện rộng)
 Vận hành và quản trị các thiết bị, giải pháp: Switching, Routing, Firewall, Security Appliances, … thuộc nhóm các nhà cung cấp thiết bị phổ biến tại Việt Nam: Palo Alto Networks, Juniper Networks, Cisco Networks, Check Point, Fortinet, Aruba Networks, NetScout, …
 Thực hiện PoC (Proof of Concept), demo giải pháp cho khách hàng cũng như tham gia trực tiếp công việc triển khai và hỗ trợ kỹ thuật trong các dự án.
 Đào tạo & chuyển giao công nghệ cho khách hàng sau triển khai.
 Your skills and experience
 Tốt nghiệp đại học: An toàn thông tin, Khoa học máy tính, Công nghệ thông tin, Điện tử viễn thông, Điện tử truyền thông, … hoặc các chuyên ngành có liên quan.
 Có tối thiểu 02 năm kinh nghiệmtại vị trí công việc liên quan, tham gia các dự án tích hợp giải pháp Công nghệ thông tin hoặc làm việc tại các công ty Tích hợp giải pháp hệ thống (System Integration – SI).
 Tiếng Anh đọc hiểu các thuật ngữ chuyên ngành, giao tiếp tốt là một lợi thế.
 Yêu cầu có kiến thức và hiểu biết về các giao thức vận hành trên hạ tầng mạng: TCP/IP; Switching Layer (STP, LAG, …) Routing Protocol (OSPF, BGP, …) và Statefull / Next-gen Firewall
 Ưu tiên ứng viên có một trong các chứng chỉ PAN NetSec-Pro/NGFW-Engineer, JNCIP, CCNP, Fortinet NSE 5/6, Check Point CCSE, ... hoặc tương đương.
 Có khả năng làm việc độc lập cũng như kỹ năng teamwork trong các dự án.
 Năng động, có ý chí cầu tiến và khả năng chịu áp lực trong công việc.
 Làm việc tại Hà Nội và công tác tại địa điểm của các đơn vị đối tác trong dự án khi có yêu cầu",Security,Infrastructure,2.0,English,"Networking, Firewall / VPN, Security"
