Job_Title,Job Domain,Company,Location,Min years of exp,Language Requirement,Skills,Salary_Raw,Link,JD & Requirements
IT Support Specialist,Others,Tanner Vietnam,Hà Nội,1.0,English,"Azure, Monitoring, Security, API",20-24m/month,https://itviec.com/it-jobs/it-support-specialist-helpdesk-evening-shift-tanner-vietnam-2826?lab_feature=preview_jd_page,"Job description
 
 As a key contact in our IT Service Desk, you will support colleagues with all IT-related issues and ensure smooth daily operations.
 
 
 
 Act as the first point of contact for internal IT support requests 
 
 Receive, prioritize, and resolve incidents and service requests using a ticketing system 
 
 Install, configure, and maintain workstations and peripherals (desktops, laptops, smartphones), including regular updates and patching to keep devices secure and up to date 
 
 Support onboarding and offboarding processes, including account setup, permissions, device provisioning, and user introduction 
 
 Ensure proper deactivation of accounts and return of hardware during offboarding
 
 Ensure IT equipment (workstations, conference technology, etc.) is properly set up and functioning for daily use
 
 Assist in monitoring IT systems and proactively identify issues
 
 Additional responsibilities may include:
 
 
 
 • Assist in administering local Active Directory and supporting Microsoft 365 environment management
 
 • Assist in managing user accounts and access rights in Entra (Azure AD), Exchange Online, Teams, SharePoint, and related services
 
 • Assist with procurement of hardware and software, including license and maintenance tracking
 
  
 
 
 
 Working time
 
 
 
 1 position: from 13:00 to 22:00 Vietnamese time
 
 Your skills and experience
 
 Completed vocational training in IT (e.g., IT Specialist for System Integration) or a comparable degree in Information Technology
 
 Initial professional experience in IT support or system administration
 
 Strong knowledge of modern Windows operating systems
 
 Confident use of Microsoft Office and standard workplace applications
 
 Familiarity with Active Directory and Microsoft 365 services is expected
 
 Strong service-oriented mindset with a high level of reliability and professionalism
 
 Ability to communicate technical concepts clearly and effectively to non-technical users
 
 Well-organized with the ability to prioritize tasks and work under pressure
 
 Team-oriented with a collaborative and supportive working style
 
 Very good English language skills; German is a plus
 
 Experience with virtualization technologies (e.g., VMware), Citrix environments, or storage systems (e.g., NetApp) is a plus"
Software Engineer,Software Development,Anchanto Services Pvt Ltd,"12A, Vietinbank building, 36 Tran Quoc Toan, Da Nang, Hai Chau, Da Nang",6.0,English,"Java, API, Microservices, SQL, NoSQL, GenAI / LLM, AWS, GCP, Azure, Docker, Kubernetes, Scrum / Agile, Software Architecture",You'll love it,https://itviec.com/it-jobs/senior-software-engineer-java-anchanto-services-pvt-ltd-4316?lab_feature=preview_jd_page,"Job description
 
 We are looking for a Senior Software Engineer (Java) who will play a key role in building backend systems and integrations for our SaaS platform.
 
 
 
 This is a hands-on individual contributor role, focused on building scalable, reliable, and high-quality backend systems.
 
 
 
 You will work closely with global engineering teams to deliver scalable and reliable solutions.
 
 
 
 Key Responsibilities
 
 
 
 1. Development & Integration
 
 
 
 Design and develop backend services using Java (Spring Boot)
 
 Build integrations with external systems (marketplaces, carriers, ERPs)
 
 Ensure high-quality, maintainable code
 
 Participate in code reviews and improve engineering quality
 
 Support task breakdown and technical problem-solving
 
 Ensure system stability and performance
 
 2. System Design & Execution
 
 
 
 Work closely with global teams to understand and implement architectural decisions
 
 Contribute inputs in technical discussions
 
 Ensure robustness through error handling, retries, and monitoring
 
 3. Collaboration
 
 
 
 Work with Engineering Manager and global teams (India & other regions)
 
 Participate in sprint planning, estimation, and delivery
 
 Technical Scope & Expectations
 
 
 
 Architecture and major technical decisions are driven by central engineering teams
 
 This role is expected to understand, contribute to, and implement architecture, not independently define it
 
 Strong focus on execution, quality, and team-level technical guidance
 
 Your skills and experience
 
 Experience
 
 
 
 6 - 8 years of experience in Java backend development
 
 Technical Skills
 
 
 
 Strong in Java, Spring Boot, REST APIs
 
 Experience with microservices architecture
 
 Familiarity with messaging systems (Kafka, RabbitMQ, etc.)
 
 Good understanding of databases (SQL/NoSQL)
 
 Integration Experience
 
 
 
 Experience working with APIs and third-party integrations
 
 Understanding of JSON/XML and data transformation
 
 Soft Skills
 
 
 
 Good English communication skills
 
 Strong ownership mindset
 
 Strong problem-solving ability
 
 Ability to work effectively in a collaborative team environment
 
 Ability to guide team members while contributing individually
 
 AI & Engineering Productivity
 
 
 
 Exposure to AI-assisted development tools (e.g., Cursor AI, GitHub Copilot, or similar) is preferred
 
 Ability to use AI tools for:
 
 Code generation and refactoring
 
 Debugging and problem-solving
 
 Improving development productivity and speed
 
 Preferred Qualifications
 
 
 
 Experience in SaaS or product-based companies
 
 Exposure to cloud platforms (AWS, GCP, Azure)
 
 Experience with Docker/Kubernetes"
INTERN SOFTWARE ENGINEER,Software Development,KEIZU,"Quận Đống Đa, Hà Nội",0.0,Japanese,".NET Ecosystem, Java, PHP, JavaScript, Mobile Apps",Negotiable,https://topdev.vn/detail-jobs/intern-software-engineer-cong-ty-tnhh-keizu-viet-nam-2100324?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Lập trình phần mềm, website và các ứng dụng trên mobile và web.
 
 Làm quen với phần mềm CRM Salesforce CRM.
 
 Training về ngôn ngữ Apex (Salesforce).
 
 Lập trình các chức năng trên Hệ thống Salesforce (Apex Page, Trigger, Batch, Testclass, LWC, …).
 
 Dựa vào tài liệu thiết kế sẽ làm ở cả FrontEnd và Backend.
 
 2
 
 Your skills & qualifications
 
 Các bạn sinh viên năm cuối sắp tốt nghiệp.
 
 Học ngành công nghệ thông tin (phần mềm) hoặc ngành hệ thống thông tin quản lý tại các trường Đại học.
 
 Có kiến thức về PHP, .Net, Java.
 
 Nắm vững Javascript là một lợi thế.
 
 Có kỹ năng lập trình, tư duy lập trình tốt.
 
 Siêng năng, chịu khó học hỏi.
 
 Ưu tiên các bạn có thể làm Full-time."
Android HMI SDK Development for Automotive Developer,Software Development,Altaa Vistaa,"Quận Cầu Giấy, Hà Nội",5.0,,"Mobile Apps, Embedded / IoT, Frontend Basics, Software Architecture, Unit Test, Design, Git, Scrum / Agile","600 - 1,200 USD",https://itviec.com/it-jobs/android-hmi-sdk-development-for-automotive-developer-altaa-vistaa-3308?lab_feature=preview_jd_page,"Job description
 
 Job Title: Software Engineer – Android HMI SDK Development (Automotive Domain)-KPIT
 
 Location: Hanoi, Vietnam
 
 Experience: 5+ Years
 
 Employment Type: Full-Time
 
 Project Type: Android HMI App Development
 
 
 
 About the Role
 
 We are looking for an experienced Android Engineer to lead the development of a common UI Library (HMI SDK) for the Android Automotive domain. This role involves building scalable, reusable UI components using Jetpack Compose and ensuring consistent user experience across multiple automotive applications and sub-brands.
 
 
 
 Key Responsibilities
 
 Design and develop reusable UI components (widgets, templates, themes) using Jetpack Compose
 
 Build and maintain a common UI Library (HMI SDK) for automotive applications
 
 Develop brand-specific themes ensuring consistency across various screen sizes and orientations
 
 Collaborate with cross-functional teams and designers to implement UI/UX concepts
 
 Ensure scalability, modularity, performance, and maintainability of the SDK
 
 Develop unit, integration, and UI tests using JUnit, Robolectric, and Mockk
 
 Ensure compatibility across Android Automotive versions and devices
 
 Communicate with clients and stakeholders regularly
 
 Mentor junior developers and guide best practices in UI development
 
 Work with Figma to validate and implement design specifications
 
 Your skills and experience
 
 Mandatory Skills
 
 5+ years of experience in Android application development
 
 Strong expertise in Jetpack Compose and UI/UX development
 
 Experience in building reusable UI components/libraries
 
 Solid understanding of Android Automotive and AOSP architecture
 
 Proficiency in Kotlin, UML, and design patterns (SOLID principles)
 
 Experience with testing frameworks (JUnit, Robolectric, Mockk)
 
 Knowledge of Agile methodologies and version control tools like Git
 
 Strong analytical and problem-solving skills
 
 Preferred Skills
 
 Experience in Android-based IVI production programs
 
 Knowledge of XML and Jetpack Compose-based UI development
 
 Understanding of IPC and communication protocols (D-BUS, MOST, EAVB, SOME/IP)
 
 Familiarity with Android Automotive System and Car Framework
 
 Knowledge of Android components (Services, Broadcast Receivers, Content Providers, Treble Architecture)"
"Backend Developer (PHP, Laravel, MySQL, Kafka)",Software Development,CUBICSTACK SOLUTIONS,"Quận 3, Hồ Chí Minh",5.0,,"PHP, Laravel, SQL, MySQL / PostgreSQL, API, Microservices, AWS, Monitoring, Software Architecture, Scrum / Agile","1,000 - 1,800 USD",https://itviec.com/it-jobs/senior-backend-developer-php-laravel-mysql-kafka-cubicstack-solutions-3941?lab_feature=preview_jd_page,"Job description
 
 Introduction:
 
 
 
 We are looking for a highly skilled Senior Software Developer to join our talented engineering team. In this role, you will have the opportunity to work on complex systems that support large- scale applications. You will be responsible for backend development, architecture, system performance optimization, and driving the integration of tools such as Laravel, Kafka, MySQL, Graylog, and AWS.
 
 
 
 Responsibilities:
 
 
 
 Backend Development:
 
 Lead the design and implementation of scalable, efficient, and secure applications using Laravel.
 
 Architect and build RESTful APIs and services with a focus on scalability and maintainability.
 
 Work on system components with high traffic and large data volumes, ensuring that they are optimized for performance and reliability.
 
 Database Management:
 
 Build, optimize, and maintain high-performance MySQL databases.
 
 Ensure data integrity and high availability with a focus on query optimization, schema design, and indexing strategies.
 
 Implement data migrations and transformations as required by the application
 
 Graylog for Monitoring & Logging:
 
 Set up and manage Graylog to aggregate logs and monitor application health.
 
 Work on log processing and ensure log data is being captured correctly for debugging, analytics, and alerting purposes.
 
 Performance Optimization:
 
 Continuously analyze system performance and implement improvements to enhance speed, scalability, and reliability.
 
 Optimize code and database queries to ensure high efficiency and low latency.
 
 Address bottlenecks in both the backend code and infrastructure.
 
 Mentorship & Leadership:
 
 Provide mentorship and technical guidance to junior and mid-level developers, helping to develop their skills.
 
 Lead by example, contributing to coding standards, code reviews, and best practices.
 
 Foster a culture of learning and growth within the engineering team.
 
 Collaboration & Communication:
 
 Collaborate closely with cross-functional teams, including product, design, and operations, to deliver features on time and in scope.
 
 Communicate technical concepts to both technical and non- technical stakeholders effectively.
 
 Lead or participate in architecture reviews, sprint planning, and other agile ceremonies.
 
 Your skills and experience
 
 Requirements:
 
 
 
 Technical Skills:
 
 Expert-level experience with Laravel framework and modern PHP development practices.
 
 Strong experience working with Kafka for message brokering and real-time data streaming.
 
 Solid understanding of MySQL, including performance tuning, indexing, and query optimization.
 
 Proficiency in AWS cloud services (EC2, S3, RDS, CloudWatch, Lambda, etc.).
 
 Experience with Graylog or similar log management/monitoring tools.
 
 Expertise in performance optimization techniques for both backend and database systems.
 
 Experience:
 
 5+ years of professional experience in software development, with a focus on backend systems.
 
 Proven track record in designing, building, and maintaining scalable web applications.
 
 Experience in building and maintaining production-level applications with high traffic and low latency requirements.
 
 Experience in architecting and developing microservices or distributed systems.
 
 Soft Skills:
 
 Strong leadership and mentoring skills, with the ability to guide a team through complex technical challenges.
 
 Excellent problem-solving skills and the ability to debug complex issues under pressure.
 
 Strong communication skills, with the ability to effectively communicate complex technical ideas to both technical and non-technical
 
 stakeholders.
 
 Self-motivated, proactive, and able to work independently or as part of a team in a fast-paced environment."
IT Developer (Backend .NET),Software Development,Modern System VN,"Tòa Nhà Flemington, 182 Lê Đại Hành, Phường Phú Thọ, Phu Tho, Ho Chi Minh",1.0,English,".NET Ecosystem, C#, API, Embedded / IoT, Security, SQL, MySQL / PostgreSQL, Frontend Basics, Docker, CI/CD, Linux, Machine Learning, Git",Up to 25.000.000 VND,https://topdev.vn/detail-jobs/it-developer-backend-net-modern-system-vn-2096319?src=topdev_home&medium=superhotjobs,"RESPONSIBILITIES
 
 Phát triển API RESTful cho hệ thống Web / ERP / MES / RCS
 
 Xây dựng & tối ưu Backend (.NET – C#)
 
 Tích hợp hệ thống với PLC, SCADA, IoT trong nhà máy
 
 Phân tích yêu cầu, thiết kế & triển khai module
 
 Tối ưu hiệu năng, bảo mật & scalability
 
 REQUIREMENTS
 
 1–3 năm kinh nghiệm .NET (C# Backend)
 
 Có kiến thức về RESTful API, HTTP, Auth (JWT, OAuth…)
 
 SOLID, MVC
 
 Git, DB (PostgreSQL / MySQL)
 
 Frontend cơ bản
 
 Điểm cộng: DevOps (Docker, CI/CD, Linux)
 
 Điểm cộng: Có hiểu biết về AI / Robot
 
 Điểm cộng: Đọc hiểu tiếng Anh"
MOBILE DEVELOPER,Software Development,CMC OPENAI,"Waseco Building - 10 Pho Quang Street, Ward 02, Tan Son Hoa, Ho Chi Minh",2.0,English,"Mobile Apps, Java, React Native, Flutter, API, GraphQL, Machine Learning, GenAI / LLM, CI/CD, Git, Security, Software Architecture",Up to 40.000.000 VND,https://topdev.vn/detail-jobs/mobile-developer-cong-ty-co-phan-cmc-openai-2096126?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Phát triển, tối ưu và duy trì ứng dụng của công ty trên nền tảng Mobile
 
 Xây dựng ứng dụng di động đa nền tảng (iOS, Android) hiệu năng cao, thân thiện với người dùng
 
 Thiết kế và phát triển ứng dụng có giao diện hiện đại, hiệu năng cao, ổn định, bảo mật tốt, đáp ứng tốt lượng truy cập lớn và đa dạng thiết bị, phần cứng
 
 Thử nghiệm, phát hành ứng dụng lên AppStore/CHPlay
 
 Giữ mã nguồn sạch, áp dụng Clean Architecture, MVVM (hoặc MVI), tuân thủ SOLID, KISS, DRY và tiêu chuẩn bảo mật dữ liệu GDPR
 
 Cập nhật xu thế Android mới (Compose Multiplatform, Baseline Profiles, AI-assisted coding) và đề xuất giải pháp kỹ thuật.
 
 Tham gia thiết kế kiến trúc ứng dụng, lập trình tính năng AI trên mobile, xử lý sự cố, cải tiến quy trình CI/CD (Gradle Managed Devices, Play Integrity)
 
 Hướng dẫn Junior Developer khi cần.
 
 2
 
 Your skills & qualifications
 
 Tốt nghiệp chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc các ngành liên quan
 
 Tối thiểu 2-3 năm kinh nghiệm phát triển các ứng dụng Mobile, trong đó có ít nhất 1 dự án có tính năng AI trên mobile
 
 Thành thạo Java/Kotlin, Swift
 
 Ưu tiên các ứng viên có kinh nghiệm làm việc với React Native và Flutter
 
 Quen thuộc với các framework AI trên mobile như Torch Mobile, ONNX, ML kit
 
 Có khả năng tích hợp model AI RCM on device (Core ML, Tensoft flow, ONNX,…)
 
 Hiểu biết về RESTful/GraphQL, JSON, lưu trữ local (Room, DataStore, Preferences) 
 
 Quen thuộc Git, quy trình CI/CD cho Android (GitHub Actions, Bitrise, Jenkins, Fastlane)
 
 Tư duy logic, khả năng phân tích & giải quyết vấn đề tốt; chủ động học hỏi công nghệ mới.
 
 Có khả năng đọc hiểu tài liệu kỹ thuật bằng tiếng anh"
Software Engineer,Software Development,CLOUD TECHNOLOGY VN,"Tầng 3 toà HH2 Bắc Hà, số 15 Tố Hữu, Thanh Xuan, Ha Noi",6.0,English,"API, AWS, Azure, CI/CD, Docker, GCP, Java, JavaScript, Kubernetes, Microservices, Monitoring, MySQL / PostgreSQL, NodeJS, ReactJS, Security, SQL, TypeScript",Negotiable,https://topdev.vn/detail-jobs/senior-software-engineer-cloud-technology-vn-2098094?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 You’ll guide features from initial idea all the way to users’ hands
 
 Figure things out when requirements aren’t crystal clear and make smart architectural decisions
 
 Work closely with our U.S. leadership to turn business needs into technical solutions
 
 Help us build great engineering habits for CI/CD, monitoring, security, and performance
 
 Share your knowledge with teammates and make technical decisions that think long-term
 
 Roll with changing priorities while keeping our code quality high
 
 2
 
 Your skills & qualifications
 
 You’re Someone Who:
 
 
 
 Thrives with autonomy while maintaining strong accountability
 
 Takes extreme ownership of your work
 
 Adapts quickly when priorities shift
 
 Makes pragmatic decisions that balance quality with getting things done
 
 Thinks about the bigger picture and how your code impacts real users
 
 Communicates fluently in English (written and spoken). This is essential since you’ll work directly with U.S. leadership.
 
 Excels at cross-time zone collaboration and can occasionally overlap with U.S. Pacific morning hours
 
  
 
 
 
 Here’s What Would Set You Up for Success:
 
 
 
 6++ years software engineering experience
 
 Proven experience building production SaaS platforms
 
 Expertise in Java (17/21+) or Node.js (TypeScript preferred) for backend development
 
 Frontend experience with React, Redux, and ES6+ JavaScript
 
 Experience with microservices architecture and API design
 
 Cloud-native development experience (AWS, GCP, or Azure)
 
 Strong database design skills for distributed systems
 
 DevOps experience with Docker, Kubernetes, CI/CD pipelines
 
 Security-first approach to development
 
 Bonus points for: Healthcare or regulated industry background
 
 Bonus points for: Startup or high-growth company experience
 
 Bonus points for: Opensource contributions"
Technical Consultant,Software Development,MUREX,"40 Thien Phuoc, Tan Hoa, Ho Chi Minh",0.0,English,"Java, Spring Boot, C/C++, C#, .NET Ecosystem, Linux, SQL, MySQL / PostgreSQL, Python, AWS, Azure, Monitoring, Software Architecture",Negotiable,https://topdev.vn/detail-jobs/technical-consultant-java-c-c-net-sql-linux-murex-2096324?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 With training and senior support, you will:
 
 
 
 Build strong technical knowledge of the MX.3 platform
 
 Analyze and troubleshoot system performance, reliability, and architecture issues
 
 Contribute to improving system stability through benchmarking, profiling, and testing
 
 Assist in infrastructure preparation, including sizing, setup, monitoring, and maintenance
 
 Become a trusted technical partner for clients across the Asia–Pacific region
 
 Collaborate with Product Development and Client Services to deliver high‑quality solutions
 
 2
 
 Your skills & qualifications
 
 Required:
 
 
 
 A bachelor’s degree in computer science, Computer Engineering, IT, Software Engineering, or related.
 
 0 to 3 Years of relevant experience
 
 Strong interest in system architecture, problem‑solving, and technology
 
 Familiarity with Linux/Unix, shell scripting, or networking
 
 Strong, object-oriented design and coding skills (C/C++ and/or Java)
 
 Understanding of databases (Oracle, PostgreSQL, SQL Server)
 
 Curiosity, willingness to learn, and strong teamwork
 
 English communication skills and a structured way of thinking
 
 Ability to effectively articulate technical challenges and solutions
 
  
 
 
 
 Nice to Have:
 
 
 
 Knowledge of cloud platforms (AWS, Azure)
 
 Knowledge of Python or other scripting languages a plus
 
 Exposure to debugging/profiling tools (GDB, Valgrind, Java profilers)
 
 Understanding of multi-threading or design patterns
 
 Project experience with enterprise systems"
FULLSTACK DEVELOPER,Software Development,EMCT,Hồ Chí Minh,3.0,,".NET Ecosystem, C#, ReactJS, TypeScript, Mobile Apps, WebSocket, Embedded / IoT, Linux, Microservices, gRPC, Software Architecture",Negotiable,https://topdev.vn/detail-jobs/fullstack-developer-c-net-reactjs-cong-ty-tnhh-emct-2097257?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Phase 1 – ERP / Accounting
 
 
 
 Develop and enhance Accounting / ERP systems 
 
 Work with C# / .NET, ASP.NET Core, React 
 
 Handle finance-related business logic and system optimization 
 
  
 
 
 
 Phase 2 – Product Development (IoT Platform)
 
 
 
 Build scalable real-time data platforms for IoT & smart buildings 
 
 Develop backend services (.NET, WebSocket, APIs) 
 
 Build modern frontend applications (React, Typescript)
 
 Optimize system performance and scalability 
 
  
 
 
 
 Tech Stack
 
 
 
 Backend: .NET, C#, ASP.NET Core, EF Core 
 
 Frontend: React, Typescript 
 
 Client App: WinForms / WPF / MAUI 
 
 Database: MariaDB 
 
 Others: WebSocket, Linux, IoT integration
 
 2
 
 Your skills & qualifications
 
 Requirements
 
 
 
 7+ years of experience in software development
 
 Strong in C# / .NET and at least one frontend framework (React preferred)
 
 Experience with ASP.NET Core and RESTful APIs
 
 Experience with databases and ORM (EF Core or equivalent)
 
 Experience in Accounting / ERP / Finance systems is a strong plus
 
 Strong problem-solving skills and ability to work independently
 
  
 
 
 
 Nice to Have
 
 
 
 Experience with real-time systems, WebSocket
 
 Knowledge of Microservices, Kafka, gRPC
 
 Exposure to IoT systems, Linux environments
 
 Familiarity with MVVM, WPF / MAUI"
Backend Engineer,Software Development,Smilegate Vietnam,"Quận Bình Thạnh, Hồ Chí Minh",3.0,Korean,"Python, Java, Microservices, API, gRPC, SQL, MySQL / PostgreSQL, NoSQL, Software Architecture, System Design, Unit Test, GenAI / LLM, RAG, Vector Database, Langchain, MLOps, Docker, Kubernetes, AWS, GCP, Azure, Redis, CI/CD",You'll love it,https://itviec.com/it-jobs/backend-engineer-ai-native-focus-smilegate-vietnam-3327?lab_feature=preview_jd_page,"Job description
 
 Backend Engineering:
 
 
 
 Core Systems: Design, develop, and manage high-performance backend services, ensuring stability and scalability in production.
 
 Feature Development: Maintain existing systems and proactively develop new functionalities based on business requirements.
 
 International Collaboration: Work closely with the Korean tech team and stakeholders to align on architectural solutions and application deployment.
 
 Code Quality: Apply standard coding practices, ensuring high unit test coverage and optimized debugging processes.
 
 Technology Research: Proactively research new technologies, specifically AI infrastructure solutions, to apply to company projects.
 
 AI Engineering & Orchestration:
 
 
 
 Agentic Systems: Design and deploy autonomous AI Agents, building complex workflows including planning, multi-step reasoning, and tool-use/function calling.
 
 Data & Retrieval: Build and optimize RAG (Retrieval-Augmented Generation) systems using vector databases and embeddings to provide accurate context for LLMs.
 
 AIOps: Establish evaluation pipelines to measure AI quality, minimize hallucinations, and control bias.
 
 Resource Optimization: Monitor and optimize latency, token throughput, and operational costs for AI systems.
 
 AI Integration: Package AI features into stable APIs for seamless integration into the existing Microservices ecosystem.
 
 Your skills and experience
 
 Mandatory Skills:
 
 
 
 Experience: 3–6 years in software development (Proficient in Python or Java). Preference for candidates capable of using both (Python for AI/Data and Java for Backend Core).
 
 Architecture: Deep understanding of Microservices, RESTful APIs, and gRPC.
 
 Data: Experience with SQL (PostgreSQL, MySQL) or NoSQL (MongoDB, Cassandra).
 
 Fundamentals: Mastery of data structures, algorithms, OOP, and common design patterns.
 
 AI Specialization:
 
 
 
 LLM Production: Proven experience implementing features using OpenAI, Claude, or open-source models (Llama, Mistral) in production.
 
 Frameworks: Proficiency in AI orchestration libraries: LangChain, LangGraph, CrewAI, or AutoGen.
 
 Vector Infrastructure: Experience with Vector Databases such as Milvus, Pinecone, Qdrant, or pgvector.
 
 Agentic Skills: Solid understanding of Function Calling, Memory management (Long-term/Short-term), and advanced Prompt Engineering (Chain-of-Thought, ReAct).
 
 AI Quality: Knowledge of evaluation frameworks (e.g., Ragas, Arize Phoenix, or LangSmith).
 
 Nice-to-have:
 
 
 
 Experience with high-traffic systems and asynchronous processing.
 
 Proficiency in Docker, Kubernetes, and Cloud platforms (AWS/GCP/Azure).
 
 Experience with Redis (Caching) and Message Brokers (Kafka or RabbitMQ).
 
 Understanding of CI/CD for AI (MLOps)."
C++ Developer,Software Development,DTS Software Viet Nam,"Tầng 9,10,11,12 Tòa nhà MB Bank, số 21 Cát Linh - Phường Cát Linh, Ha Noi",0.5,Japanese,"C/C++, Software Architecture, Mobile Apps",Negotiable,https://topdev.vn/detail-jobs/c-developer-dts-software-viet-nam-2100228?src=topdev_home&medium=superhotjobs,"Your role & responsibilities
 
 Tham gia từ giai đoạn thiết kế đến triển khai sản phẩm của siêu dự án phát triển phần mềm CAD cho khách hàng Nhật Bản. Dự án phần mềm kiến trúc, xây dựng cho khách hàng Nhật Bản là dự án lớn của tập đoàn DTS Japan (top 10 tập đoàn CNTT tại Nhật Bản), với nhiều modules phần mềm khác nhau, từ Windows App, Web App, iOS App...
 
 Phát triển Plugin cho revit và các ứng dụng CAD khác theo đơn đặt hàng của khách hàng Nhật.
 
 Được đào tạo: chuyên sâu về C/C++ và các kiến thức, kỹ năng cần thiết cho phát triển các sản phẩm cho CAD
 
 Làm việc trong môi trường chuyên nghiệp, tuân thủ quy trình phát triển phần mềm chuẩn PMS của DTS Japan;
 
 Hợp tác làm việc với các Leaders, Project Manager xuất sắc với hàng chục năm kinh nghiệm tại các công ty phần mềm lớn nhất ở Nhật Bản và Việt Nam với các quy trình quản lý dự án bài bản, chuyên nghiệp.
 
 2
 
 Your skills & qualifications
 
 Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc ngành liên quan.
 
 Có kinh nghiệm từ 6 tháng - dưới 2 năm kinh nghiệm làm dự án phát triển phần mềm ứng dụng với ngôn ngữ C++, chấp nhận sinh viên dự kiến ra trường cuối năm 2025
 
 Thành thạo lập trình C++, nắm vững lập trình hướng đối tượng (OOP).
 
 Có tư duy tốt về thuật toán, cấu trúc dữ liệu.
 
 Sẵn sàng học hỏi và tiếp thu các công nghệ mới trong lĩnh vực phần mềm CAD.
 
 Có khả năng làm việc nhóm, phối hợp tốt với đội ngũ kỹ thuật và quản lý dự án.
 
 Ưu tiên biết tiếng Nhật, đủ để hiểu tài liệu kỹ thuật và trao đổi nhóm"
Chuyên viên Ứng dụng và Tổng hợp (Software),Software Development,SỞ GIAO DỊCH CHỨNG KHOÁN THÀNH PHỐ HỒ CHÍ MINH,"Quận Bình Thạnh, Hồ Chí Minh",0.0,,"Business Analysis, Software Architecture, Data Analysis",You'll love it,https://itviec.com/it-jobs/chuyen-vien-ung-dung-va-tong-hop-so-giao-dich-chung-khoan-thanh-pho-ho-chi-minh-5237?lab_feature=preview_jd_page,"Job description
 
 + Phân tích yêu cầu nghiệp vụ và tham gia xây dựng giải pháp kỹ thuật.
 
 
 
 + Thiết kế, phát triển, chỉnh sửa hoặc nâng cấp các module phần mềm theo yêu cầu dự án.
 
 
 
 + Thực hiện kiểm thử chức năng, kiểm thử tích hợp và phối hợp UAT với đơn vị nghiệp vụ.
 
 
 
 + Hỗ trợ vận hành, xử lý lỗi ứng dụng và đề xuất giải pháp cải tiến, tối ưu hiệu năng.
 
 
 
 + Soạn thảo tài liệu kỹ thuật, tài liệu người dùng, và phối hợp đào tạo khi cần.
 
 
 
 + Phối hợp với nhà thầu trong quá trình bảo trì, triển khai và khắc phục sự cố.
 
 
 
 Your skills and experience
 
 Trình độ: Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin hoặc tương đương.
 
 Kỹ năng: 
 
 + Giao tiếp tốt, chủ động trao đổi với đơn vị nghiệp vụ và nhà thầu.
 
 
 
 + Khả năng làm việc nhóm và quản lý thời gian hiệu quả.
 
 
 
 + Tư duy logic, cẩn thận, có trách nhiệm cao trong công việc.
 
 
 
 Yêu cầu các ứng viên:
 
 + Hiểu biết về phân tích nghiệp vụ, mô hình dữ liệu, quy trình phát triển phần mềm.
 
 
 
 + Có khả năng viết tài liệu kỹ thuật, phân tích vấn đề và giải quyết sự cố.
 
 
 
 - Ưu tiên ứng viên: 
 
 
 
 + Có kinh nghiệm làm việc trong lĩnh vực tài chính – chứng khoán, 
 
 
 
 + Hiểu biết về hệ thống giao dịch, lưu ký, bù trừ thanh toán."
Fullstack Dev,Software Development,VNJ,Hồ Chí Minh,1.0,Japanese,"PHP, Laravel, JavaScript, ReactJS, Frontend Basics, MySQL / PostgreSQL",You'll love it,https://itviec.com/it-jobs/fullstack-dev-laravel-cakephp-reactjs-vnj-2237?lab_feature=preview_jd_page,"Job description
 
 We are looking for PHP fullstack Developer( CakePhp (or Laravel), JavaScript, Jquery, ReactJS, CSS, MySQL) to join our project. The services we provide are all client facing, so a high attention to usability and customer satisfaction is expected. If you want to work closely with a team, drive ideas to completion, and be a core member who creates our next-generation software services, then contact us.
 
 
 
 RESPONSIBILITIES INCLUDE:
 
 
 
 Developing Web Application System based on CakePhp (or Laravel), JavaScript, JQuery, CSS, ReactJS, MySQL.
 
 Analyze functional requirements and creation of Web System .
 
 Developing web system for Japanese customers.
 
 Your skills and experience
 
 Have at least 1 year experience in PHP, Laravel ( or CakePhp), ReactJs , MySQL
 
 Have knowledge of libraries and frameworks such as jQuery, ReactJS, Bootstrap, CSS...
 
 High sense of responsibility.
 
 Ability to learn and adopt new technologies quickly.
 
 Teamwork skills, working under high pressure.
 
 Willing to work and become the core member of company"
